,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.
210597,PA-1505809-404D7D23E2D749C582BD0413323BF826,Cancelado por decisao administrativa,Portel,4516.680465809103,4484.544563688753,99.28850618582352
37275,PA-1505809-8B7149D56EB446B1A96F1BA968365C7A,Cancelado por duplicidade,Portel,4516.680465809103,4484.544563688753,99.28850618582352
172838,PA-1508084-171F650C364D4846B219F107F1A71337,"Analisado, aguardando atendimento a notificacao",Tucuma,4033.1674208270974,3865.438609229173,95.84126335217871
210456,PA-1508084-1EEBAFF96AD448479E7437378EB8B644,"Analisado, aguardando atendimento a notificacao",Tucuma,3950.438110888445,3747.607923712551,94.86562802700692
33418,PA-1503101-B29F1B1B78044B7BA4308C146680D00B,Cancelado por decisao administrativa,Gurupa,2988.182455591891,2983.822199715787,99.85408334528086
75346,PA-1503101-7B9AFD8C23AA4DE08C2ADA63DDB6AF81,Aguardando analise,Gurupa,2988.195558994318,2983.624333785412,99.84702389389652
216885,PA-1504455-36032ADC7E88456BAE98A3AD2F631644,Aguardando analise,Medicilandia,1443.8860514135467,2826.16993521172,195.7335852399802
74108,PA-1506807-18D6A81C7E27418C8935F50B7DE9C3B3,Aguardando analise,Santarem,2822.312301274192,2822.3007747071915,99.99959159137016
41414,PA-1506807-A5F4BEA3F5B2408EAF7F26EA8A5E9F43,Cancelado por duplicidade,Santarem,2822.300774468575,2822.30074574031,99.99999898209768
247689,PA-1500404-B6602B7F4CCE4533B66B95D2E1326CC2,Aguardando analise,Alenquer,2612.63969354329,2560.0021200682304,97.98527238160146
