,CAR,cond,cidade,Área_Total,Área CAR sob TIs,PC CAR sob TIs
79347,PA-1503093-2C087519B0CD48FF9093170E0D897646,Aguardando analise,Goianesia do Para,880.5545442032012,766.2627231360951,87.0204722899333
260756,PA-1503754-7750E5D00B9B45A5835EF45F93A38DFB,Cancelado por decisao administrativa,Jacareacanga,975.7840031265648,589.7464583542782,60.43821752197598
212990,PA-1506807-6BF443203D304FF7A164E8E3A0A2D5E8,"Analisado, aguardando atendimento a notificacao",Santarem,424.0195586869567,422.03996384599736,99.53313596026338
172834,PA-1501451-2DE323F56317468CB81C6729908F9A2B,Aguardando analise,Belterra,5311.934702564021,381.2368146883233,7.17698608953728
260770,PA-1503754-A04175D43F0F47C5B29939A0C0774FDB,Cancelado por decisao administrativa,Jacareacanga,292.7625906363011,292.76259063630107,100.0
70715,PA-1505650-1CA76DAEA74744F78DBBA8E8F1E05E67,Aguardando analise,Placas,303.0686302702728,194.03393089007855,64.02309955901458
244379,PA-1505650-B0EF47ACEFE94469B4A8F2374FD65F86,Aguardando analise,Placas,241.86525324181383,87.44343481898602,36.153781350131005
250205,PA-1500602-EAB8AB099B80435EBFE9423D2B152575,Cancelado por decisao administrativa,Altamira,86.83947981097559,86.752859951501,99.90025290379084
267255,PA-1500602-696A10FB97A9415080C7EA6248174026,Cancelado por decisao administrativa,Altamira,86.6239395033523,86.53620723089001,99.89872052348888
75092,PA-1502954-B0C3A0305315482FBF3B3544A3D5E6AF,Aguardando analise,Eldorado do Carajas,410.2719221423374,85.81804863614227,20.91735846509356
