Cidade,Area,Area  Rural,pc Rural,Overlap Area,pc Overlap  Rural
Marituba,0.0083875976790498,0.0015653227342611253,18.66234879351599,0.002998346688000378,91.54814674148835
Altamira,13.047336278679316,4.9877612556981905,38.228195772409904,2.1521932866667357,43.14948483566642
Benevides,0.015263199167034624,0.0037447536150394213,24.53452630774366,0.0016132064242653566,43.0791072017798
Afuá,0.6774357703375201,0.5187784716134952,76.57972819401363,0.11033345720358419,21.26793289251713
Trairão,0.9779882459354019,0.3126377739145637,31.967436747211586,0.03766895573626414,12.048753822869191
Ananindeua,0.015487803156445086,0.008861132884286726,57.2136202583338,0.000778835783048711,8.789347741639281
Itaituba,5.067280186015631,2.0171515404497917,39.80738120652185,0.14273354344877495,7.075995064651797
São Félix do Xingu,6.896822490888811,3.868827605619489,56.095797894327184,0.1897915111192435,4.905659555457331
Novo Progresso,3.1307903260404872,1.1849322201810673,37.84770287314807,0.0459657474637028,3.879187913100959
Marabá,1.2348079871724629,1.33049111957827,107.74882681354437,0.046784793279830594,3.516355170762817
Belém,0.08609164437829465,0.020496151805889526,23.80736476100693,0.00046364671102106555,2.262115910401472
Oriximiná,8.743982335841794,0.5404993224053277,6.181386256806673,0.007049963314149873,1.3043426738772135
Almeirim,5.928153816864153,2.052459044448402,34.6222299193664,0.023153047264353584,1.128063788993946
Canaã dos Carajás,0.2572262221633899,0.13965412281922315,54.29233522331754,0.0013591741859346818,0.9732431513633722
Aveiro,1.3899486513651285,0.6812432831605831,49.0121187204653,0.006275688601673536,0.9212110793309982
Monte Alegre,1.4749855173031434,0.7536749116207527,51.097105888793294,0.004493957797269702,0.5962727069693213
São Geraldo do Araguaia,0.25887245532530434,0.25337179177802405,97.87514529486421,0.00012428886409298202,0.04905394685840561
Alenquer,1.9212290112517778,0.975739980155818,50.78728118518646,0.00018282198012713384,0.018736751987751758
Primavera,0.021071057453481278,0.01046206483384339,49.651351655893706,0.0,0.0
Prainha,1.2022509508365182,0.928908571573248,77.26411619195807,0.0,0.0
Salvaterra,0.0746284535091521,0.02355497749665388,31.56299827888729,0.0,0.0
Rurópolis,0.5719478154121019,0.37160545545036194,64.9719162197711,0.0,0.0
Quatipuru,0.024585045899868426,0.004531565214366522,18.432201561969727,0.0,0.0
Salinópolis,0.01837144094167975,0.004918934953618484,26.774900070351983,0.0,0.0
Rondon do Pará,0.672000444704781,0.668531149428071,99.48373616356248,0.0,0.0
Rio Maria,0.33697600489678436,0.29175796917623276,86.58122980168814,0.0,0.0
Porto de Moz,1.4164211009878969,0.41851538276677447,29.54738407066068,0.0,0.0
Redenção,0.3136745243960488,0.26805754875333554,85.45722648960908,0.0,0.0
Abaetetuba,0.13090802105039415,0.10508162667581761,80.27134306412404,0.0,0.0
Portel,2.064460105562922,2.2390715743565246,108.45797253834513,0.0,0.0
Ponta de Pedras,0.2733274467899292,0.09487296661270106,34.71036945865792,0.0,0.0
Placas,0.5840728798538873,0.5088416787263319,87.11955241846267,0.0,0.0
Piçarra,0.2708444636991423,0.2653541155176703,97.97287782571375,0.0,0.0
Peixe-Boi,0.0365835994760227,0.01778406326652842,48.61211996972658,0.0,0.0
Pau D'Arco,0.13700188409464645,0.09433480024515328,68.85657147604115,0.0,0.0
Santa Cruz do Arari,0.08747165820564676,0.04025870207568386,46.02485296555742,0.0,0.0
Parauapebas,0.5625604945292518,0.07081950421297678,12.588780211493209,0.0,0.0
Paragominas,1.5738279647349152,1.2864203384979587,81.73830731967166,0.0,0.0
Palestina do Pará,0.08039119528767825,0.0769432093453371,95.71099057551938,0.0,0.0
Pacajá,0.9632136866645281,1.1755203327728885,122.04148975950997,0.0,0.0
Ourilândia do Norte,1.1806475632096491,0.15300559013521775,12.959463509945715,0.0,0.0
Ourém,0.04564929429497617,0.04069562854799765,89.14842863732139,0.0,0.0
Oeiras do Pará,0.3132077295473986,0.12766272256024516,40.75976117981648,0.0,0.0
Óbidos,2.2760435609752294,0.7151919612754278,31.42259548709979,0.0,0.0
Santa Bárbara do Pará,0.02260219967401042,0.008840824593244558,39.11488581091668,0.0,0.0
Santarém Novo,0.018647698950014578,0.009255282797647202,49.63230488896308,0.0,0.0
Santa Izabel do Pará,0.05831953681662126,0.03798828822383313,65.13818575631475,0.0,0.0
Santa Luzia do Pará,0.10943623990642776,0.0540415292716897,49.381748968986244,0.0,0.0
Vitória do Xingu,0.251364149036114,0.19300168710819143,76.78170807105134,0.0,0.0
Viseu,0.40414628409107684,0.35996428576397876,89.06782022592063,0.0,0.0
Vigia,0.03262954400296701,0.014124812215930224,43.28841437271036,0.0,0.0
Uruará,0.8783891310206668,0.7421665536553087,84.49177334343028,0.0,0.0
Ulianópolis,0.41428427636567045,0.3638341312115719,87.82233648916754,0.0,0.0
Tucuruí,0.16970360620669198,0.10746500429119024,63.32511529560681,0.0,0.0
Tucumã,0.20554165853769704,0.17075053306142002,83.0734432504853,0.0,0.0
Tracuateua,0.07053111902042836,0.0244917816987725,34.724788205442756,0.0,0.0
Tomé-Açu,0.41844970604104614,0.3624895974523501,86.62680179223095,0.0,0.0
Terra Santa,0.15411065511449148,0.05249378443791486,34.062397826364645,0.0,0.0
Terra Alta,0.016654457531533537,0.011338622821262963,68.08160998215898,0.0,0.0
Tailândia,0.3603905139747813,0.34314723179210693,95.21538955271144,0.0,0.0
Soure,0.23214052430366064,0.1662118092919893,71.59965274937062,0.0,0.0
Senador José Porfírio,1.1745725738405441,0.4175691939595613,35.55073592381096,0.0,0.0
Sapucaia,0.10620253335280276,0.04943341693298796,46.54636322918127,0.0,0.0
São Sebastião da Boa Vista,0.1326447125605797,0.04395862181842469,33.14012369573231,0.0,0.0
São Miguel do Guamá,0.0889561439211705,0.05760230985100408,64.75360476736606,0.0,0.0
São João do Araguaia,0.10443804192412978,0.1052512806823491,100.77868058729989,0.0,0.0
São João de Pirabas,0.05427863409321105,0.016602462366006713,30.58747266465072,0.0,0.0
São João da Ponta,0.015918211574432274,0.005687745162172448,35.731056441717776,0.0,0.0
São Francisco do Pará,0.03895829673636908,0.02197729681402779,56.412365670779266,0.0,0.0
São Domingos do Capim,0.13710643358954017,0.12856141333662371,93.76760081259356,0.0,0.0
São Domingos do Araguaia,0.11366460027858087,0.11954808891344573,105.17618380783904,0.0,0.0
São Caetano de Odivelas,0.03771353748321213,0.011462430770006452,30.393411848752876,0.0,0.0
Santo Antônio do Tauá,0.043684800354249466,0.019216593429155694,43.98919824132008,0.0,0.0
Santarém,1.4557765721528177,0.702617530211621,48.26410478447134,0.0,0.0
Santana do Araguaia,0.9540809822886206,1.2590744579002955,131.96725238984072,0.0,0.0
Santa Maria do Pará,0.03719632683955575,0.019755032275167977,53.1101696153499,0.0,0.0
Santa Maria das Barreiras,0.8486042667277153,1.094607172035614,128.98911954054927,0.0,0.0
Novo Repartimento,1.2547892837701975,1.1083047529117742,88.32596574157144,0.0,0.0
Moju,0.7396264266223235,0.7243780988413198,97.93837439656683,0.0,0.0
Nova Timboteua,0.03980408030504881,0.015142807745362474,38.043355428166336,0.0,0.0
Curionópolis,0.19357666765594417,0.12154488143100377,62.789014245783505,0.0,0.0
Concórdia do Pará,0.05694848862291498,0.04556315830461286,80.00766904686408,0.0,0.0
Conceição do Araguaia,0.47833836827000803,0.5751377784986159,120.23659749032873,0.0,0.0
Colares,0.03120537923565901,0.0058940111557528405,18.887804923766595,0.0,0.0
Chaves,1.0183640086778691,0.5704986915708619,56.02109724120494,0.0,0.0
Castanhal,0.08364152134141377,0.04874371992008735,58.27694085228538,0.0,0.0
Capitão Poço,0.2358309436794188,0.20023680700332203,84.90692691944518,0.0,0.0
Capanema,0.050498714697545855,0.039846965191410316,78.90688986851939,0.0,0.0
Cametá,0.25059068925059624,0.08378362118784653,33.434450991936515,0.0,0.0
Cachoeira do Arari,0.25190156313579953,0.12540249635833328,49.78234148183078,0.0,0.0
Cachoeira do Piriá,0.19668580427096868,0.12666352750500676,64.3989168280319,0.0,0.0
Bujaru,0.08083929435098931,0.04078037550505098,50.44622894404559,0.0,0.0
Breves,0.7773461522407096,0.6523576930326883,83.92113232338765,0.0,0.0
Breu Branco,0.3208989299618147,0.2764250852164193,86.14085601635145,0.0,0.0
Brejo Grande do Araguaia,0.10518737097385268,0.07935506549648988,75.4416283645076,0.0,0.0
Brasil Novo,0.5177429063063682,0.3656097508026069,70.61608113781894,0.0,0.0
Bragança,0.1726505302618005,0.06398955242551797,37.06305004015147,0.0,0.0
Bonito,0.04770010975501853,0.028307083614398206,59.343854258993645,0.0,0.0
Bom Jesus do Tocantins,0.22969162954480438,0.15648031534362755,68.1262593912261,0.0,0.0
Belterra,0.3578784078475512,0.11242170501317794,31.413380228590732,0.0,0.0
Barcarena,0.10648867254600747,0.05069920765095826,47.60995365873692,0.0,0.0
Bannach,0.24221141939583102,0.1816335704965275,74.9896808951419,0.0,0.0
Baião,0.30591313957821076,0.20712413819517855,67.70684596312493,0.0,0.0
Bagre,0.357547641221619,0.18733256814518867,52.39373625991123,0.0,0.0
Aurora do Pará,0.1473047302790173,0.11789225103633451,80.03290241462638,0.0,0.0
Augusto Corrêa,0.08934669107945437,0.023109180065091904,25.864617688573755,0.0,0.0
Anapu,0.9687441608525758,0.5582965291406353,57.630956830675274,0.0,0.0
Anajás,0.5617316163873325,0.5153079191190539,91.73560897874263,0.0,0.0
Água Azul do Norte,0.5818960661506418,0.4154983404774155,71.40421883688262,0.0,0.0
Acará,0.3531622947695058,0.26891205817125696,76.14404543009456,0.0,0.0
Cumaru do Norte,1.4029140676171223,0.9856301308283689,70.25591613764922,0.0,0.0
Curralinho,0.2939882991290366,0.0746381854854291,25.388148340104205,0.0,0.0
Nova Ipixuna,0.127544969961749,0.10827000822325736,84.88771313814082,0.0,0.0
Curuá,0.11633986465917692,0.06425444734946166,55.22994851137061,0.0,0.0
Nova Esperança do Piriá,0.22834203590131374,0.05033987370598952,22.045819775271564,0.0,0.0
Muaná,0.30582397798965927,0.22235546534753786,72.70700839391223,0.0,0.0
Mojuí dos Campos,0.40581911282141536,0.4512885042133259,111.20434941464173,0.0,0.0
Abel Figueiredo,0.050073186158980834,0.03607285008428676,72.04025318012832,0.0,0.0
Mocajuba,0.0708442719829167,0.03351654025894324,47.31016258735127,0.0,0.0
Melgaço,0.5504438555204099,0.3040720419565898,55.24124557065115,0.0,0.0
Medicilândia,0.6730825895387941,0.4145815153153689,61.594449441850244,0.0,0.0
Marapanim,0.06537549333944358,0.01930606751566387,29.531046772255507,0.0,0.0
Maracanã,0.06561892256931742,0.0156624879255534,23.868858725938576,0.0,0.0
Magalhães Barata,0.026323259919962424,0.007235550875461118,27.487290318377276,0.0,0.0
Mãe do Rio,0.03815211129715364,0.021518080625148137,56.40075973135858,0.0,0.0
Limoeiro do Ajuru,0.1210588324176505,0.08493543623336813,70.16046209692706,0.0,0.0
Juruti,0.6753994092019104,0.5820334639987629,86.17618790731932,0.0,0.0
Jacundá,0.16367206055515574,0.1249138287505106,76.31957972962404,0.0,0.0
Jacareacanga,4.367074115551514,0.7129678862106709,16.325985484691753,0.0,0.0
Itupiranga,0.642702266386899,0.6917140189126948,107.62588761376661,0.0,0.0
Irituia,0.11259059291250359,0.0801619453931916,71.19772915263628,0.0,0.0
Ipixuna do Pará,0.4242177466930321,0.31011843366145597,73.10359740462734,0.0,0.0
Inhangapi,0.03840676989437426,0.016487753705990107,42.92929020413455,0.0,0.0
Igarapé-Miri,0.16232421060784036,0.12685880198305086,78.15149786221939,0.0,0.0
Igarapé-Açu,0.0638664827924597,0.034268098396678576,53.655840901770134,0.0,0.0
Gurupá,0.6963534933471528,0.6756552378260428,97.02762236150781,0.0,0.0
Goianésia do Pará,0.5720099020977124,0.3744053599667314,65.45434940788391,0.0,0.0
Garrafão do Norte,0.1307281609435149,0.11562506757789369,88.44694727087384,0.0,0.0
Floresta do Araguaia,0.2821990778986212,0.27007378175536556,95.70328286203274,0.0,0.0
Faro,0.9565682750762802,0.045218054741409934,4.727112106849256,0.0,0.0
Eldorado do Carajás,0.2415215852950132,0.34281492336216846,141.93966263654144,0.0,0.0
Dom Eliseu,0.4291369950305761,0.38834667605932127,90.49480248880698,0.0,0.0
Curuçá,0.05494945468241338,0.010949477711738913,19.926453820192876,0.0,0.0
Xinguara,0.3092306326931461,0.1985576433700063,64.21021153070492,0.0,0.0
